ts_code,detect_date,note,status,status_reason,buy_date,buy_time,buy_price,initial_stop_price,initial_r,exit_date,exit_time,exit_price,exit_reason,hold_days,pnl_amount,pnl_pct,pnl_r,max_favorable_excursion_r,max_adverse_excursion_r,peak_stop_price,entry_eligible,entry_reason,entry_buy_date,entry_buy_time,entry_buy_price,entry_detect_prev_high,entry_detect_day_open,entry_detect_day_close,entry_detect_day_low,entry_detect_day_high,entry_detect_volume_1430,entry_day2_volume_1430,entry_pullback_ratio,entry_has_long_lower_shadow,entry_stabilized_after_1400,entry_gap_unfilled,entry_gap_size,entry_initial_stop_price,entry_initial_r,entry_exception
600475.SH,2025-08-22,gaps up,skipped,pullback_rule;volume_rule;reversal_rule,2025-08-25,2025-08-25 14:30:00,23.98,,,,,,,,,,,,,,False,pullback_rule;volume_rule;reversal_rule,2025-08-25,2025-08-25 14:30:00,23.98,23.56,25.5,25.92,24.28,25.92,17619832.0,46499527.0,4.6190476190476035,False,False,True,0.7200000000000024,,,
600633.SH,2025-08-22,gaps up,skipped,volume_rule,2025-08-25,2025-08-25 14:30:00,15.76,,,,,,,,,,,,,,False,volume_rule,2025-08-25,2025-08-25 14:30:00,15.76,15.27,15.33,15.68,15.31,15.8,68162336.0,92949593.0,0.0,False,True,True,0.040000000000000924,,,
600728.SH,2025-08-22,gaps up,skipped,reversal_rule,2025-08-25,2025-08-25 14:30:00,7.5,,,,,,,,,,,,,,False,reversal_rule,2025-08-25,2025-08-25 14:30:00,7.5,6.32,6.82,6.82,6.82,6.82,52755545.0,18642858.0,0.0,False,False,True,0.5,,,
603187.SH,2025-08-22,gaps up,skipped,reversal_rule;gap_fill_rule,2025-08-25,2025-08-25 14:30:00,14.62,,,,,,,,,,,,,,False,reversal_rule;gap_fill_rule,2025-08-25,2025-08-25 14:30:00,14.62,14.1,15.0,14.69,14.62,15.3,31077600.0,19675600.0,0.10294117647058842,False,False,False,0.5199999999999996,,,
603227.SH,2025-08-22,gaps up,skipped,volume_rule;reversal_rule,2025-08-25,2025-08-25 14:30:00,10.09,,,,,,,,,,,,,,False,volume_rule;reversal_rule,2025-08-25,2025-08-25 14:30:00,10.09,8.97,9.0,9.79,9.0,9.79,105851155.0,91785801.0,0.0,False,False,True,0.02999999999999936,,,
603897.SH,2025-08-22,gaps up,skipped,pullback_rule;volume_rule;reversal_rule;gap_fill_rule,2025-08-25,2025-08-25 14:30:00,27.0,,,,,,,,,,,,,,False,pullback_rule;volume_rule;reversal_rule;gap_fill_rule,2025-08-25,2025-08-25 14:30:00,27.0,27.17,28.38,27.65,27.39,28.99,15389422.0,10367170.0,0.40624999999999967,False,False,False,0.21999999999999886,,,
603966.SH,2025-08-22,gaps up,skipped,pullback_rule;volume_rule;gap_fill_rule,2025-08-25,2025-08-25 14:30:00,11.69,,,,,,,,,,,,,,False,pullback_rule;volume_rule;gap_fill_rule,2025-08-25,2025-08-25 14:30:00,11.69,11.88,12.2,12.17,11.91,12.49,39151965.0,48788634.0,0.8275862068965524,False,True,False,0.02999999999999936,,,
605028.SH,2025-08-22,gaps up,skipped,pullback_rule;volume_rule;reversal_rule;gap_fill_rule,2025-08-25,2025-08-25 14:30:00,27.08,,,,,,,,,,,,,,False,pullback_rule;volume_rule;reversal_rule;gap_fill_rule,2025-08-25,2025-08-25 14:30:00,27.08,26.86,29.55,29.55,29.55,29.55,1436712.0,26651661.0,2470000.0000000023,False,False,False,2.6900000000000013,,,
605255.SH,2025-08-22,gaps up,error,Missing daily row for 2025-08-21.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missing daily row for 2025-08-21.
605303.SH,2025-08-22,gaps up,skipped,reversal_rule,2025-08-25,2025-08-25 14:30:00,22.04,,,,,,,,,,,,,,False,reversal_rule,2025-08-25,2025-08-25 14:30:00,22.04,18.22,20.04,20.04,20.04,20.04,2374299.0,1487465.0,0.0,False,False,True,1.8200000000000003,,,
000070.SZ,2025-08-25,gaps up,skipped,volume_rule,2025-08-26,2025-08-26 14:30:00,11.56,,,,,,,,,,,,,,False,volume_rule,2025-08-26,2025-08-26 14:30:00,11.56,9.58,9.91,10.51,9.91,10.51,76156083.0,196713941.0,0.0,True,False,True,0.33000000000000007,,,
000157.SZ,2025-08-25,gaps up,skipped,pullback_rule;reversal_rule;gap_fill_rule,2025-08-26,2025-08-26 14:30:00,7.48,,,,,,,,,,,,,,False,pullback_rule;reversal_rule;gap_fill_rule,2025-08-26,2025-08-26 14:30:00,7.48,7.54,7.56,7.66,7.56,7.66,96622220.0,52687175.0,1.7999999999999876,False,False,False,0.019999999999999574,,,
