ts_code,detect_date,note,status,status_reason,buy_date,buy_time,buy_price,initial_stop_price,initial_r,exit_date,exit_time,exit_price,exit_reason,hold_days,pnl_amount,pnl_pct,pnl_r,max_favorable_excursion_r,max_adverse_excursion_r,peak_stop_price,entry_eligible,entry_reason,entry_buy_date,entry_buy_time,entry_buy_price,entry_detect_prev_high,entry_detect_day_open,entry_detect_day_close,entry_detect_day_low,entry_detect_day_high,entry_detect_day_volume,entry_day2_volume_1430,entry_pullback_ratio,entry_has_long_lower_shadow,entry_stabilized_after_1400,entry_gap_unfilled,entry_gap_size,entry_initial_stop_price,entry_initial_r
000533.SZ,2025-11-06,,skipped,volume_rule;reversal_rule,2025-11-07,2025-11-07 14:30:00,8.99,,,,,,,,,,,,,,False,volume_rule;reversal_rule,2025-11-07,2025-11-07 14:30:00,8.99,7.94,8.46,8.73,8.1,8.73,157950609.0,211495279.0,0.0,False,False,True,0.15999999999999925,,
002562.SZ,2025-11-06,,skipped,pullback_rule;volume_rule,2025-11-07,2025-11-07 14:30:00,7.52,,,,,,,,,,,,,,False,pullback_rule;volume_rule,2025-11-07,2025-11-07 14:30:00,7.52,7.21,7.34,7.81,7.34,7.81,152810438.0,128283834.0,0.6170212765957451,True,False,True,0.1299999999999999,,
002300.SZ,2025-11-06,,skipped,volume_rule;reversal_rule,2025-11-07,2025-11-07 14:30:00,8.09,,,,,,,,,,,,,,False,volume_rule;reversal_rule,2025-11-07,2025-11-07 14:30:00,8.09,7.24,7.75,7.96,7.6,7.96,90891705.0,149542878.0,0.0,False,False,True,0.35999999999999943,,
300402.SZ,2025-11-04,,skipped,volume_rule;reversal_rule,2025-11-05,2025-11-05 14:30:00,26.53,,,,,,,,,,,,,,False,volume_rule;reversal_rule,2025-11-05,2025-11-05 14:30:00,26.53,21.85,23.66,26.22,23.66,26.22,55074764.0,65018843.0,0.0,False,False,True,1.8099999999999987,,
300402.SZ,2025-11-04,,skipped,volume_rule;reversal_rule,2025-11-05,2025-11-05 14:30:00,26.53,,,,,,,,,,,,,,False,volume_rule;reversal_rule,2025-11-05,2025-11-05 14:30:00,26.53,21.85,23.66,26.22,23.66,26.22,55074764.0,65018843.0,0.0,False,False,True,1.8099999999999987,,
600308.SH,2025-11-04,,skipped,pullback_rule;volume_rule;reversal_rule,2025-11-05,2025-11-05 14:30:00,4.39,,,,,,,,,,,,,,False,pullback_rule;volume_rule;reversal_rule,2025-11-05,2025-11-05 14:30:00,4.39,4.09,4.5,4.5,4.4,4.5,191834544.0,187597986.0,1.1000000000000072,False,False,True,0.3100000000000005,,
603169.SH,2025-11-04,,skipped,volume_rule;reversal_rule,2025-11-05,2025-11-05 14:30:00,10.96,,,,,,,,,,,,,,False,volume_rule;reversal_rule,2025-11-05,2025-11-05 14:30:00,10.96,9.58,10.33,10.54,9.9,10.54,248199814.0,223069911.0,0.0,False,False,True,0.3200000000000003,,
603823.SH,2025-11-04,,skipped,pullback_rule;reversal_rule;gap_fill_rule,2025-11-05,2025-11-05 14:30:00,17.45,,,,,,,,,,,,,,False,pullback_rule;reversal_rule;gap_fill_rule,2025-11-05,2025-11-05 14:30:00,17.45,17.63,19.39,19.39,18.34,19.39,71705456.0,54274250.0,1.8476190476190475,False,False,False,0.7100000000000009,,
605155.SH,2025-11-03,,skipped,pullback_rule;reversal_rule;gap_fill_rule,2025-11-04,2025-11-04 14:30:00,16.83,,,,,,,,,,,,,,False,pullback_rule;reversal_rule;gap_fill_rule,2025-11-04,2025-11-04 14:30:00,16.83,17.05,17.58,18.7,17.58,18.74,27862817.0,15980900.0,1.6696428571428565,False,False,False,0.5299999999999976,,
600444.SH,2025-11-03,,skipped,volume_rule;reversal_rule,2025-11-04,2025-11-04 14:30:00,20.44,,,,,,,,,,,,,,False,volume_rule;reversal_rule,2025-11-04,2025-11-04 14:30:00,20.44,18.35,19.3,20.09,19.1,20.09,11684506.0,33128406.0,0.0,False,False,True,0.75,,
