ts_code,detect_date
002759.SZ,20250930
002759.SZ,20251009
002759.SZ,20251031
002759.SZ,20251110
002759.SZ,20251224
002759.SZ,20251226
002759.SZ,20260310
002759.SZ,20260326
002763.SZ,20250901
002763.SZ,20251225
002763.SZ,20251226
002767.SZ,20250324
002767.SZ,20251020
002767.SZ,20260305
002772.SZ,20250507
002772.SZ,20251028
002780.SZ,20251114
002780.SZ,20260123
002780.SZ,20260202
002780.SZ,20260331
002782.SZ,20251016
002796.SZ,20250410
002796.SZ,20251009
002796.SZ,20251223
002796.SZ,20260116
002796.SZ,20260305
002796.SZ,20260330
002798.SZ,20250519
002803.SZ,20250410
002803.SZ,20260112
002805.SZ,20250619
002805.SZ,20251117
002805.SZ,20251226
002805.SZ,20260306
002811.SZ,20250306
002821.SZ,20250318
002821.SZ,20251208
002821.SZ,20260331
002837.SZ,20250306
002837.SZ,20251217
002837.SZ,20251218
002837.SZ,20251224
002838.SZ,20250414
002839.SZ,20251201
002846.SZ,20250408
002846.SZ,20250930
002846.SZ,20260310
002863.SZ,20250410
002863.SZ,20251028
002885.SZ,20250624
002885.SZ,20260202
002885.SZ,20260325
002893.SZ,20250721
002895.SZ,20250507
002895.SZ,20250715
002895.SZ,20251009
002895.SZ,20260105
002901.SZ,20250506
002901.SZ,20251009
002901.SZ,20251201
002905.SZ,20250430
002907.SZ,20250528
002907.SZ,20260206
002911.SZ,20250814
002911.SZ,20260116
002911.SZ,20260120
002911.SZ,20260302
002913.SZ,20250410
002913.SZ,20251009
002913.SZ,20251027
002922.SZ,20250410
002922.SZ,20251030
002922.SZ,20251106
002922.SZ,20260107
002922.SZ,20260202
002922.SZ,20260325
002925.SZ,20250410
002925.SZ,20251114
002925.SZ,20260105
002925.SZ,20260106
002926.SZ,20250507
002941.SZ,20250507
002941.SZ,20251009
